Curso,Nivel,Codigo,Genero,Adaptacion,Puntuacion_profesor,Puntuacion_apoyo,Material,Puntuacion_curso,Edad,Decision,Gusto_g,Interes_profesional_g,Autoeficacia_g,Utilidad_g
VIDEOJUEGOS 2D,0,103000,0,1,9,9,3,10,13,2,0,0,-0.5,-1
CIBERSEGURIDAD,1,104324,0,3,8,10,3,9,17,2,0.333333333,0,0.75,0.4
CIBERSEGURIDAD,1,106789,0,2,10,10,2,10,16,0,0.5,0.5,-0.75,0.4
BIOINGENIERIA,1,106843,1,3,10,10,3,10,15,2,0,0.333333333,-0.25,1
BIOINGENIERIA,0,108000,1,2,10,10,3,9,11,2,-0.166666667,-0.166666667,0,-0.2
AUTOMATIZACION,1,108472,0,2,10,1,3,10,13,2,-0.5,0,0.25,0
EDICION DE FOTO Y VIDEO,0,109000,0,3,10,10,3,10,10,2,0.5,0.166666667,-0.25,0.2
INTELIGENCIA ARTIFICIAL,1,109196,0,2,8,8,3,10,13,1,0.166666667,0,0.5,0.8
BIOINGENIERIA,0,157000,0,3,10,10,3,10,11,1,0,0,0,0
BIOINGENIERIA,1,201095,1,3,9,9,3,9,17,2,-0.166666667,0.166666667,-0.25,0.2
VIDEOJUEGOS 2D,0,202000,0,2,9,10,2,8,13,1,0.5,0.666666667,0,0.6
DISEÑO 3D,1,204543,1,2,9,9,3,10,16,2,-0.166666667,0,-0.75,0.2
MINECRAFT,0,207323,0,3,10,10,3,10,13,2,-0.5,0.166666667,0.25,-0.6
BIOINGENIERIA,1,211655,0,2,10,10,3,9,16,0,0.166666667,0,0.25,0.2
BIOINGENIERIA,0,249000,1,2,10,10,3,10,10,1,0.166666667,0.166666667,1.25,0
INGENIERIA ELECTRONICA,1,302594,0,2,10,10,3,9,16,2,0.166666667,0,0.25,0.4
INTELIGENCIA ARTIFICIAL,1,302848,1,2,10,10,3,10,16,2,-0.166666667,1,0.25,0.2
BIOINGENIERIA,0,303884,0,3,10,10,3,9,13,0,0.166666667,0,0.25,-0.2
CIBERSEGURIDAD,1,303941,0,1,7,9,1,4,14,2,0,0.333333333,0.25,0
CIBERSEGURIDAD,1,304000,0,2,9,9,3,9,15,0,0,0.166666667,0.25,0
CIBERSEGURIDAD,1,305405,0,1,10,10,2,7,14,2,0,0,-0.25,-0.4
DRONES,1,306080,0,2,9,9,3,9,16,2,0,-0.5,0.5,-0.2
DISEÑO 3D,1,306394,1,2,9,9,3,10,16,2,-0.666666667,0.333333333,0.75,-0.2
BIOINGENIERIA,1,306636,0,3,10,10,3,10,15,1,0,0,-1,0.2
CIENCIA EN LA COCINA,1,307399,1,3,9,10,3,10,13,2,0,0,0,0
INGENIERIA ELECTRONICA,1,307566,1,3,10,10,3,10,17,2,0,0.333333333,0,0.2
VIDEOJUEGOS 3D,1,308894,0,2,10,5,1,9,16,1,-0.166666667,0,0,-0.2
ENERGIAS RENOVABLES,0,310000,1,3,10,10,3,10,10,2,1.166666667,0.5,-1,0.2
VIDEOJUEGOS 3D,1,310605,0,3,10,5,3,10,13,2,-0.333333333,0,0.25,0
DRONES,1,310825,0,2,10,10,2,10,15,2,-0.333333333,-0.166666667,0,-0.4
INGENIERIA MECANICA,1,311077,0,3,9,10,3,10,15,2,-0.166666667,0.333333333,-0.5,0
INTELIGENCIA ARTIFICIAL,1,312047,0,1,10,10,2,9,16,0,0.5,0.333333333,-0.75,-0.4
BIOINGENIERIA,1,401142,1,2,10,10,2,8,15,2,0,-0.166666667,-0.75,0.4
VIDEOJUEGOS 2D,0,402000,0,3,10,10,3,10,9,0,1.5,3,-0.25,-0.2
INGENIERIA ELECTRONICA,1,404000,0,2,9,9,3,9,14,2,-0.666666667,0.166666667,-0.25,-0.4
