Curso,Nivel,Codigo,Genero,Adaptacion,Puntuacion_profesor,Puntuacion_apoyo,Laboratorios_escuela,Laboratorios_comunicaciones,Sensibilizacion_ONG,Material,Ingenieria_despues,Dedicacion,Valoracion_ingenierias_despues,Nivel_matematicas,Recomendacion,Repetir,Puntuacion_curso,Mejor_curso,Peor_curso,Mejorar,Gustar,Estudiar,Entender,No_entender,Profesional,Actividades,Carrera,Facilidad,Disfrutar,No_trabajo,Mundo_mejor,Interes_asignaturas,Salida_profesional,Actividades_instituto,Dificultad_asignaturas,Trabajo,Respeto_cientificos,Efecto_vidas,No_gustar,Examenes,Decisiones_personales,Otros_campus,Decision,Edad,Valoracion_ingenierias_antes,Ingenieria_antes,Valoracion_ingenierias
VIDEOJUEGOS 3D,SENIOR,101047,Chica,Bien,10,5,Buena,Regular,Buena,Bien,No sé,bioquímica y biotecnología,Me da igual,Muy bien,Sí,No,10,diseñar mi propio estilo de videojuego,no podia seguir los esquemas,aprender ingles y tener mas imaginacion,5,5,5,1,5,3,5,3,5,5,3,3,3,3,3,3,3,3,3,3,3,No,Mis padres,15,Me da igual,Sí,Igual
VIDEOJUEGOS 2D,JUNIOR,103000,Chico,Regular,9,9,Muy buena,No asistí,Buena,Muy bien,Sí,Ingeniero informático,Muy buena,Bien,Sí,Sí,10,Es entretenido y divertido.,Que no siempre pude.,Nada.,4,5,4,1,2,4,3,4,4,4,4,4,4,4,3,4,4,3,1,3,4,No,Yo,13,Muy buena,Sí,Igual
CIBERSEGURIDAD,SENIOR,104324,Chico,Muy bien,8,10,Buena,Buena,,Muy bien,Sí,Física o Ingeniería,Muy buena,Muy bien,Sí,Sí,9,Las herramientas que hemos aprendido,"Entrar más en detalle en la programación de archivos y demás, el profesor principal le faltaba soltarse un poco a la hora de hablar, pero por el resto bien.",,5,5,5,1,1,5,5,5,5,1,5,5,5,5,1,5,5,5,1,1,5,"2016, 2017, 2018, 2019, 2020 (online)",Yo,17,Muy buena,Sí,Igual
CIBERSEGURIDAD,SENIOR,106789,Chico,Bien,10,10,Buena,Muy buena,Mala,Bien,Sí,mercado de valores,Buena,Muy bien,Sí,Sí,10,nse,nse,nse,5,5,5,5,1,5,5,5,5,5,5,5,5,5,1,5,5,5,1,1,5,"2016, 2017, 2018, 2019, 2020 (online)",Mis padres,16,Buena,Sí,Igual
BIOINGENIERIA,SENIOR,106843,Chica,Muy bien,10,10,Buena,No asistí,,Muy bien,Sí,"Algo relacionado con la psicología y la neuróloga, o quizá algo relacionado con la biología en general",Buena,Muy bien,Sí,Sí,10,"La parte de teoría, sobre todo, neuróloga",Nada :D,Añadir más cursos,4,5,5,2,1,4,4,4,5,1,5,4,5,4,1,4,3,5,1,2,5,2016,Yo,15,Muy buena,Sí,Peor
MINECRAFT,JUNIOR,107000,Chico,Bien,8,8,No asistí,No asistí,Buena,Muy bien,No,no lo se,Mala,Bien,Sí,Sí,9,el pvp,redstone,que la silla es muy baja y me duele la espalda,1,2,1,5,5,1,1,1,1,5,3,1,1,1,5,1,4,3,5,5,2,No,Mis padres,11,Muy mala,No,Other
BIOINGENIERIA,JUNIOR,108000,Chica,Bien,10,10,Buena,No asistí,Muy buena,Muy bien,Sí,Astrofísica,Muy buena,Muy bien,Sí,Sí,9,Observación con microscopios,Que había algunas actividades que eran un poco repetitivas,Podríamos ver algún tema más,5,5,5,1,1,4,5,3,5,1,5,5,5,3,5,4,3,3,1,2,4,2020 (online),Yo,11,Muy buena,Sí,Igual
CIENCIA EN LA COCINA,SENIOR,108000,Chica,Muy bien,10,10,Buena,Buena,Muy buena,Bien,No sé,psicología,Buena,Bien,Sí,Sí,9,los trampantojos,nada,tener más materiales,3,3,4,2,3,2,3,3,3,2,4,4,3,3,3,3,4,4,2,4,4,2020 (online),Yo,11,Muy buena,Sí,Peor
DISEÑO 3D,JUNIOR,108000,Chico,Muy bien,10,10,No asistí,No asistí,Muy buena,Regular,Sí,ciencia,Muy buena,Muy bien,Sí,Sí,9,tinkercad,la impresoras no van muy bien,"no, pero hay que r3novar las impresoras 3D",5,5,5,1,1,5,5,4,5,1,5,5,5,5,2,5,5,5,1,1,5,2020 (online),Yo,11,Muy buena,Sí,Igual
EDICION DE FOTO Y VIDEO,JUNIOR,108000,Chica,Muy bien,9,1,No asistí,No asistí,Muy buena,Bien,Sí,Astrofísica,Buena,Muy bien,Sí,Sí,8,Edición de foto,creo que podríamos haberlo hecho más profesionalmente.,el funcionamiento de los ordenadores,5,5,5,1,2,4,5,4,5,1,5,5,4,4,5,4,3,4,1,3,3,2020 (online),Yo,11,Muy buena,Sí,Peor
