Curso,Nivel,Codigo,Genero,Adaptacion,Puntuacion_profesor,Puntuacion_apoyo,Laboratorios_escuela,Laboratorios_comunicaciones,Sensibilizacion_ONG,Material,Ingenieria_despues,Dedicacion,Valoracion_ingenierias,Nivel_matematicas,Recomendacion,Repetir,Puntuacion_curso,Mejor_curso,Peor_curso,Mejorar,Gustar,Estudiar,Entender,No_entender,Profesional,Actividades,Carrera,Facilidad,Disfrutar,No_trabajo,Mundo_mejor,Interes_asignaturas,Salida_profesional,Actividades_instituto,Dificultad_asignaturas,Trabajo,Respeto_cientificos,Efecto_vidas,No_gustar,Examenes,Decisiones_personales
AUTOMATIZACION,SENIOR,108472,Chico,Bien,10,1,Muy buena,Buena,Regular,Muy bien,Sí,Futbolista,Buena,Muy bien,Sí,Sí,10,El temario y tener un profesor excelente,nada,Poca cosa,3,3,4,2,3,4,3,4,3,2,5,3,3,3,1,3,2,4,2,1,4
AUTOMATIZACION,SENIOR,401577,Chica,Muy bien,10,10,Regular,No asistí,Regular,Bien,Sí,Nanotecnología,Buena,Bien,Sí,Sí,10,La mano robótica y el profesor,la visita al campus,Dar menos charlas,5,5,5,1,1,5,5,5,5,1,5,5,5,5,1,5,2,5,1,2,5
AUTOMATIZACION,SENIOR,611283,Chica,Muy bien,10,1,Muy buena,No asistí,Mala,Muy bien,No sé,electricista o decoradora de interiores,Muy buena,Bien,Sí,Sí,10,lo que hemos estado programando como el brazo robótico y el laser tag,"no sé, ha estado super guay",nada,4,3,5,1,3,1,3,4,4,1,5,4,3,4,1,3,3,5,1,1,5
AUTOMATIZACION,SENIOR,902236,Chica,Muy bien,9,5,Buena,Buena,Buena,Muy bien,Sí,ns/nc,Muy buena,Muy bien,Sí,Sí,9,ns/nc,nada,nada,5,4,4,2,1,4,4,4,4,3,4,4,5,4,2,3,4,4,1,3,4
AUTOMATIZACION,SENIOR,1107156,Chico,Muy bien,10,8,Muy buena,No asistí,Buena,Muy bien,Sí,Informatica,Muy buena,Muy bien,Sí,Sí,10,el buen rollo del profesor,nada,nada,5,5,5,1,1,4,5,4,4,1,4,5,5,5,1,5,4,4,1,2,4
AUTOMATIZACION,SENIOR,1711134,Chica,Muy bien,10,10,Muy buena,Muy buena,Muy buena,Muy bien,Sí,Ingeniera,Muy buena,Bien,Sí,Sí,10,Todo,"La visita a los laboratorios, pero porque no es mi primera semana, y siempre hacemos lo mismo",Hacer cosas distintas cada semana en los lab,5,5,5,1,1,5,5,5,5,1,5,5,5,5,1,5,5,5,1,5,5
AUTOMATIZACION,SENIOR,1802670,Chico,Muy bien,10,10,Regular,No asistí,Regular,Bien,Sí,Ingeniería Mecatrónica con especialización en robótica,Buena,Bien,No,Sí,10,El profesor y su forma de enseñar.,Las charlas,Menos publicidad sobre el lugar y mas enseñanza sobre la ingenería,5,4,5,1,2,4,4,4,5,5,5,4,5,5,3,4,5,5,1,3,1
AUTOMATIZACION,SENIOR,1808307,Chico,Muy bien,10,10,Buena,Buena,Buena,Muy bien,No sé,"a la psicología, a investigar cómo pensamos.",Buena,Muy bien,Sí,Sí,9,que programas algo y puedes verlo pasar.,"no me gustó el nextion, yo dedicaría menos tiempo a ello aunque algo sí.",que haya una charla por verano y no por semana.,4,5,5,2,3,3,4,5,5,4,5,5,4,4,4,4,3,5,1,3,5
AUTOMATIZACION,SENIOR,2010000,Chico,Muy bien,10,8,Buena,No asistí,Muy buena,Muy bien,Sí,ingenieria,Me da igual,Muy bien,Sí,Sí,10,el profesor y el brazo robótico,nada,mejorar las visitas a los laboratorios,5,5,4,1,1,4,5,4,5,2,5,5,5,4,2,2,4,4,1,3,5
AUTOMATIZACION,SENIOR,2308161,Chica,Muy bien,10,1,Buena,Buena,Buena,Muy bien,Sí,Ingeniería industrial,Muy buena,Muy bien,Sí,Sí,7,el Laser tag,no hay nada que no me haya gustado,nada,5,5,4,1,1,4,5,5,5,3,5,5,5,5,2,5,4,4,1,1,5
AUTOMATIZACION,SENIOR,2409000,Chico,Bien,10,1,Muy buena,Buena,Buena,Bien,Sí,No sé,Buena,Bien,Sí,Sí,10,Todo,Nada,Nada,4,4,3,3,3,4,4,3,3,3,4,3,5,4,3,3,2,3,1,3,3
AUTOMATIZACION,SENIOR,2705000,Chico,Muy bien,10,10,Regular,Regular,Regular,Muy bien,Sí,ingeniero nanotecnologico,Muy buena,Muy bien,Sí,Sí,10,"Los problemas que nos daban para hacer, cuanto más difíciles mejor y el ambiente",La charla ya que al haber venido ya varias semanas he repetido lo que dicen,"el laboratorio, porque estamos en automatización y en vez de ir a un laboratorio de algo al azar podríamos ir a laboratorios con algo que ver con lo que estamos viendo",5,5,5,1,1,4,5,3,5,1,5,5,5,5,1,5,3,5,1,1,5
