Curso,Nivel,Codigo,Edad,Genero,Decision,Otros_campus,Ingenieria_antes,Valoracion_ingenierias,Dedicacion,Trabajo_padre,Trabajo_madre,Posicion_clase,Tipo_estudiante,Gustar,Estudiar,Entender,No_entender,Profesional,Actividades,Carrera,Facilidad,Disfrutar,No_trabajo,Mundo_mejor,Interes_asignaturas,Salida_profesional,Actividades_instituto,Dificultad_asignaturas,Trabajo,Respeto_cientificos,Efecto_vidas,No_gustar,Examenes,Decisiones_personales
AUTOMATIZACION,SENIOR,108472,13,Chico,Yo,No,No sé,Buena,,algo sobre bancos,telecos,Entre los primeros de la clase,Buen estudiante,4,3,4,2,3,4,4,4,4,3,4,3,3,4,2,3,3,4,2,1,4
AUTOMATIZACION,SENIOR,612000,14,Chica,"Yo, Mis padres",No,No sé,Buena,,es electricista,enfermera,"Por el medio, pero más cerca de los últimos",Buen estudiante,4,3,5,1,4,4,4,4,4,1,5,4,4,4,1,3,3,5,1,1,5
AUTOMATIZACION,SENIOR,812078,15,Chico,Mis amigos,No,Sí,Buena,,director empresarial,en women secret,"Por el medio, pero más cerca de los primeros",Buen estudiante,5,5,4,2,2,3,5,4,4,1,5,5,5,4,4,5,5,5,2,4,5
AUTOMATIZACION,SENIOR,902236,14,Chica,Yo,"2017, 2018, 2019, 2020 (online)",Sí,Buena,,Farmaceutica,Automocion,"Por el medio, pero más cerca de los primeros",Buen estudiante,5,4,4,2,2,4,4,4,4,3,4,4,4,4,3,3,4,4,1,3,4
AUTOMATIZACION,SENIOR,1107000,16,Chico,Mis padres,No,No sé,Me da igual,,no se,no se,"Por el medio, pero más cerca de los primeros",Buen estudiante,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
AUTOMATIZACION,SENIOR,1107156,16,Chico,Yo,"2016, 2018, 2019",Sí,Muy buena,,Profesor aquí en ICAI,Ingeniera,"Por el medio, pero más cerca de los primeros",Buen estudiante,4,5,4,1,1,3,4,4,4,2,4,4,4,4,2,4,4,3,1,2,4
AUTOMATIZACION,SENIOR,1711134,12,Chica,Yo,"2018, 2019",Sí,Muy buena,,Trabaja en periodismo,Trabaja con el dinero del estado,"Por el medio, pero más cerca de los primeros",Buen estudiante,5,5,5,1,1,5,5,5,5,1,5,5,5,5,2,5,3,5,1,5,5
AUTOMATIZACION,SENIOR,1808307,13,Chico,"Yo, Mis padres","2016, 2017, 2018, 2019, 2020 (online)",No sé,Muy buena,,es profesor en esta universidad.,es enfermera.,Entre los primeros de la clase,Buen estudiante,5,4,5,2,2,3,5,5,5,2,5,4,4,4,5,4,4,4,2,3,5
AUTOMATIZACION,SENIOR,2211155,15,Chico,Yo,No,No sé,Buena,,Profesor,Abogado,"Por el medio, pero más cerca de los primeros",Muy buen estudiante,3,2,5,2,4,2,2,2,3,3,5,2,2,4,3,2,4,5,2,2,5
AUTOMATIZACION,SENIOR,2409000,12,Chico,Yo,No,Sí,Buena,,Arqueología,Arqueología,"Por el medio, pero más cerca de los primeros",Dentro de la media,4,4,4,3,1,3,5,3,3,3,2,3,5,3,3,2,3,4,2,3,3
AUTOMATIZACION,SENIOR,2609571,16,Chico,Mis amigos,No,No sé,Buena,,Abogado,Economista,Entre los primeros de la clase,Buen estudiante,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
AUTOMATIZACION,SENIOR,2705000,14,Chico,Yo,2018,Sí,Muy buena,,asesor fiscal,asesora culinaria,Entre los primeros de la clase,Buen estudiante,5,5,5,2,2,4,5,3,5,1,5,5,5,5,3,5,4,5,1,1,5
AUTOMATIZACION,SENIOR,2804143,17,Chico,"Yo, Mis padres",No,Sí,Muy buena,,ADE,no trabaja,Entre los primeros de la clase,Muy buen estudiante,5,5,4,1,1,4,5,4,5,2,5,5,5,5,3,4,4,3,1,1,3
AUTOMATIZACION,SENIOR,2804850,16,Chica,Yo,No,Sí,Buena,,Economista,Economista,Entre los primeros de la clase,Muy buen estudiante,4,5,5,2,1,2,5,4,4,2,5,4,5,4,3,3,4,4,2,3,3
AUTOMATIZACION,SENIOR,2807679,15,Chico,Yo,No,Sí,Muy buena,,en un ministerio,directora de marketing de una empresa,Entre los primeros de la clase,Muy buen estudiante,5,5,5,1,1,5,5,4,5,4,5,5,5,5,4,4,4,5,1,3,5
AUTOMATIZACION,SENIOR,2901873,14,Chico,Mis padres,No,No sé,Buena,,Abogado,Abogada y profesora,"Por el medio, pero más cerca de los primeros",Dentro de la media,5,4,5,1,1,3,3,4,4,1,5,4,5,4,3,5,4,4,1,3,4
BIOINGENIERIA,JUNIOR,108000,11,Chica,Yo,2020 (online),Sí,Muy buena,,Ingeniero de caminos,Profesora de derecho,Entre los primeros de la clase,Muy buen estudiante,5,5,5,1,1,4,5,4,5,1,5,5,5,4,4,5,3,4,1,4,4
BIOINGENIERIA,JUNIOR,157000,11,Chico,"Yo, Mis padres",No,No sé,Muy buena,,santander(empresa),no me acuerdo,"Por el medio, pero más cerca de los primeros",Muy buen estudiante,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
BIOINGENIERIA,JUNIOR,249000,10,Chica,"Yo, Mis padres",No,Sí,Muy buena,,En el Baco de españa,E,Entre los primeros de la clase,Muy buen estudiante,5,5,5,2,1,5,5,5,5,2,5,5,5,5,5,5,5,5,2,5,5
BIOINGENIERIA,JUNIOR,303884,13,Chico,Mis padres,No,No sé,Buena,,Ingeniero aeronáutico,Juzgado de menores,"Por el medio, pero más cerca de los primeros",Buen estudiante,5,4,5,2,3,4,3,3,4,2,5,4,3,4,5,3,3,5,2,5,4
BIOINGENIERIA,JUNIOR,608000,11,Chica,Yo,No,Sí,Muy buena,,transporte de gas natural,banco,Entre los primeros de la clase,Buen estudiante,5,5,5,1,1,4,5,5,4,1,5,4,5,5,1,5,5,3,1,1,4
BIOINGENIERIA,JUNIOR,710515,13,Chica,"Yo, Mis padres",No,No,Buena,,Arquitecto,Aparejadora,"Por el medio, pero más cerca de los primeros",Buen estudiante,4,2,5,4,1,3,2,3,5,3,5,4,2,5,2,3,4,5,1,4,5
BIOINGENIERIA,JUNIOR,912000,12,Chico,Yo,No,No sé,Buena,,en el csn,en el csn,"Por el medio, pero más cerca de los primeros",Buen estudiante,5,3,5,2,3,2,5,4,4,3,5,3,3,3,2,3,4,5,1,2,5
BIOINGENIERIA,JUNIOR,1109806,12,Chica,Mis padres,No,No sé,Buena,,Ferrovial,Doctora,Entre los primeros de la clase,Buen estudiante,3,4,4,2,3,1,4,3,4,4,5,4,3,3,4,3,4,4,4,3,4
BIOINGENIERIA,JUNIOR,1204000,12,Chica,Yo,No,Sí,Muy buena,,Ingeniería,Ingeniería,Entre los primeros de la clase,Muy buen estudiante,5,5,5,1,1,5,5,5,5,1,5,5,5,5,1,5,3,5,1,1,4
BIOINGENIERIA,JUNIOR,1207000,10,Chica,Yo,No,No sé,Muy buena,,en una fabrica,en enseñar en un instituto,Entre los primeros de la clase,Muy buen estudiante,5,5,5,2,2,3,4,3,5,1,5,4,5,5,1,4,4,5,1,3,5
BIOINGENIERIA,JUNIOR,1508281,12,Chico,"Yo, Mis padres",No,Sí,Muy buena,,Abogado,Procuradora,Entre los primeros de la clase,Buen estudiante,5,5,5,1,1,5,5,5,5,1,5,5,5,5,3,5,4,5,1,1,5
BIOINGENIERIA,JUNIOR,1601778,13,Chica,"Yo, Mis padres",No,No sé,Buena,,Informática.,Economía de un banco.,Entre los primeros de la clase,Muy buen estudiante,4,4,3,2,3,3,4,4,4,2,5,4,3,4,1,4,4,5,1,2,3
BIOINGENIERIA,JUNIOR,1607000,13,Chica,"Yo, Mis padres",No,No sé,Buena,,Farmacéutico,Farmacéutica,Entre los primeros de la clase,Buen estudiante,4,5,4,1,1,5,5,4,5,1,5,5,5,5,1,5,5,5,1,2,5
BIOINGENIERIA,JUNIOR,1812000,11,Chica,Yo,No,No sé,Buena,,en un banco,en un banco,"Por el medio, pero más cerca de los primeros",Dentro de la media,5,3,3,2,2,4,4,3,4,2,5,4,4,4,3,4,2,4,1,3,3
BIOINGENIERIA,JUNIOR,2009773,12,Chica,"Yo, Mis padres, Otros","2019, 2020 (online)",Sí,Muy buena,,Marketin,Ingeniera industrial,Entre los primeros de la clase,Muy buen estudiante,5,5,5,1,1,1,5,4,5,1,5,5,5,5,2,4,4,3,1,2,3
BIOINGENIERIA,JUNIOR,2107000,13,Chico,Yo,"2017, 2018, 2019",Sí,Buena,,derecho,psicología,"Por el medio, pero más cerca de los primeros",Dentro de la media,4,4,4,2,4,3,4,4,4,2,4,4,4,4,2,4,3,4,2,2,4
BIOINGENIERIA,JUNIOR,2505000,12,Chica,Yo,No,Sí,Muy buena,,medico,medico,Entre los primeros de la clase,Muy buen estudiante,5,4,5,1,1,4,4,4,5,2,5,5,4,5,5,4,4,5,1,3,5
BIOINGENIERIA,JUNIOR,2604000,10,Chica,Yo,No,Sí,Muy buena,,Ingeniero de Telecomunicaciones,Ingeniero de Telecomunicaciones,Entre los primeros de la clase,Muy buen estudiante,5,4,5,2,1,5,4,4,5,2,5,5,4,5,3,4,5,4,1,2,5
BIOINGENIERIA,JUNIOR,2707000,9,Chica,Mis padres,No,No sé,Buena,,En una empresa de electricidad,En un banco,"Por el medio, pero más cerca de los primeros",Dentro de la media,4,3,5,1,3,2,3,4,5,4,5,5,3,4,4,3,5,4,1,4,5
BIOINGENIERIA,JUNIOR,2707000,11,Chica,Yo,No,No sé,Buena,,Es profesor de esta universidad y ingeniero.,En el Banco Santander como contadora.,"Por el medio, pero más cerca de los primeros",Buen estudiante,4,3,5,3,4,2,2,2,3,5,4,2,2,2,4,2,3,5,3,1,4
BIOINGENIERIA,JUNIOR,3006000,11,Chico,Mis padres,No,Sí,Muy buena,,trabaja como arquitecto,trabaja como arquitecta,Entre los primeros de la clase,Muy buen estudiante,5,5,5,1,1,5,5,5,5,1,5,5,5,5,2,5,3,5,1,1,5
BIOINGENIERIA,JUNIOR,3009335,12,Chico,"Yo, Mis padres",No,No sé,Buena,,En el banco de España,En Nokia,Entre los primeros de la clase,Muy buen estudiante,1,5,5,1,1,5,5,5,5,4,5,5,5,5,1,4,4,5,1,1,5
BIOINGENIERIA,JUNIOR,27012000,10,Chica,Yo,No,No sé,Muy buena,,trabaja en una fabrica,es maestra,"Por el medio, pero más cerca de los primeros",Muy buen estudiante,5,4,4,1,3,3,3,4,5,3,5,4,3,4,3,2,4,5,1,1,4
BIOINGENIERIA,JUNIOR,664063354,12,Chico,Yo,2019,Sí,Muy buena,,Medico,Médico,Entre los primeros de la clase,Buen estudiante,5,4,5,1,2,5,4,5,5,1,5,4,4,4,1,4,4,3,2,1,3
BIOINGENIERIA,SENIOR,101047,15,Chica,Mis padres,No,Sí,Me da igual,,no tengo,derecho,"Por el medio, pero más cerca de los primeros",Muy buen estudiante,5,5,4,1,1,3,4,3,5,1,3,3,2,3,3,3,3,3,3,3,4
BIOINGENIERIA,SENIOR,106495,16,Chico,Yo,No,Sí,Me da igual,,Ingeniero de molinos,Farmaceutica,"Por el medio, pero más cerca de los últimos",Buen estudiante,4,5,5,2,1,3,5,4,5,2,5,5,4,5,2,3,4,5,1,2,5
BIOINGENIERIA,SENIOR,106843,15,Chica,Yo,2016,Sí,Muy buena,,Funcionario (teleco),Ingeniera informática en Babel,Entre los primeros de la clase,Buen estudiante,5,5,5,1,2,4,4,4,5,1,5,3,4,4,2,4,2,3,1,1,3
BIOINGENIERIA,SENIOR,201095,17,Chica,Yo,No,Sí,Buena,,Estudió ingeniería en ICAI y trabaja en una empresa,Es técnica de auditoría (funcionaria),Entre los primeros de la clase,Muy buen estudiante,5,5,4,1,1,4,5,4,5,1,5,5,5,5,3,4,3,5,1,4,4
BIOINGENIERIA,SENIOR,211655,16,Chico,Mis padres,No,Sí,Muy buena,,Notario,Fiscal,"Por el medio, pero más cerca de los primeros",Buen estudiante,5,4,5,2,3,4,3,3,5,2,5,5,4,5,4,4,4,5,1,4,4
BIOINGENIERIA,SENIOR,211655,16,Chico,Mis padres,No,Sí,Muy buena,,Notario,Fiscal,"Por el medio, pero más cerca de los primeros",Buen estudiante,5,4,5,2,3,4,3,3,5,2,5,5,4,5,4,4,4,5,1,4,4
