Codigo,Edad,Nivel,Genero,Gusto,Interes_profesional,Autoeficacia,Utilidad
108472,13,SENIOR,Chico,3.8333333333333335,3.1666666666666665,4.25,3.8
612000,14,SENIOR,Chica,4.166666666666667,3.5,4.75,4.6
812078,15,SENIOR,Chico,4.166666666666667,4.833333333333333,3.0,4.8
902236,14,SENIOR,Chica,4.333333333333333,3.6666666666666665,3.5,4.0
1107000,16,SENIOR,Chico,3.0,3.0,3.0,3.0
1107156,16,SENIOR,Chico,4.0,4.333333333333333,4.25,3.8
1711134,12,SENIOR,Chica,5.0,5.0,3.75,4.6
1808307,13,SENIOR,Chico,4.166666666666667,4.166666666666667,3.25,4.6
2211155,15,SENIOR,Chico,3.0,2.1666666666666665,3.25,4.8
2409000,12,SENIOR,Chico,3.3333333333333335,4.0,3.0,3.2
2609571,16,SENIOR,Chico,3.6666666666666665,3.3333333333333335,2.5,4.0
2705000,14,SENIOR,Chico,4.833333333333333,4.833333333333333,3.75,4.8
2804143,17,SENIOR,Chico,4.833333333333333,4.666666666666667,4.25,3.8
2804850,16,SENIOR,Chica,3.6666666666666665,4.5,3.5,4.2
2807679,15,SENIOR,Chico,5.0,4.333333333333333,3.5,4.8
2901873,14,SENIOR,Chico,4.166666666666667,4.5,3.75,4.4
108000,11,JUNIOR,Chica,4.666666666666667,5.0,3.25,4.2
157000,11,JUNIOR,Chico,3.0,3.0,3.0,3.0
249000,10,JUNIOR,Chica,4.833333333333333,4.833333333333333,2.75,5.0
303884,13,JUNIOR,Chico,4.166666666666667,3.3333333333333335,2.25,4.4
608000,11,JUNIOR,Chica,4.5,5.0,5.0,4.4
710515,13,JUNIOR,Chica,4.333333333333333,2.8333333333333335,2.75,4.8
912000,12,JUNIOR,Chico,3.6666666666666665,3.3333333333333335,4.0,4.8
1109806,12,JUNIOR,Chica,2.8333333333333335,3.1666666666666665,3.0,4.2
1204000,12,JUNIOR,Chica,5.0,5.0,5.0,4.4
1207000,10,JUNIOR,Chica,4.5,4.5,3.75,4.8
1508281,12,JUNIOR,Chico,5.0,5.0,4.5,4.8
1601778,13,JUNIOR,Chica,4.0,3.6666666666666665,4.25,4.0
1607000,13,JUNIOR,Chica,4.833333333333333,5.0,4.5,4.8
1812000,11,JUNIOR,Chica,4.333333333333333,3.8333333333333335,3.25,3.4
2009773,12,JUNIOR,Chica,4.333333333333333,4.833333333333333,4.25,4.0
2107000,13,JUNIOR,Chico,3.8333333333333335,3.6666666666666665,4.0,3.8
2505000,12,JUNIOR,Chica,4.833333333333333,4.166666666666667,3.25,4.8
2604000,10,JUNIOR,Chica,5.0,4.166666666666667,3.75,4.8
