Codigo,Edad,Nivel,Genero,Gusto,Interes_profesional,Autoeficacia,Utilidad,Grupo_Edad,label
108472.0,13,SENIOR,Chico,3.8333333333333335,3.1666666666666665,4.25,3.8,Older student,2
1107000.2,16,SENIOR,Chico,3.0,3.0,3.0,3.0,Older student,1
1107156.0,16,SENIOR,Chico,4.0,4.333333333333333,4.25,3.8,Older student,0
1808307.0,13,SENIOR,Chico,4.166666666666667,4.166666666666667,3.25,4.6,Older student,2
2609571.0,16,SENIOR,Chico,3.6666666666666665,3.333333333333333,2.5,4.0,Older student,1
2804143.0,17,SENIOR,Chico,4.833333333333333,4.666666666666667,4.25,3.8,Older student,0
2807679.0,15,SENIOR,Chico,5.0,4.333333333333333,3.5,4.8,Older student,0
108000.1,11,JUNIOR,Chica,4.666666666666667,5.0,3.25,4.2,Younger student,0
303884.0,13,JUNIOR,Chico,4.166666666666667,3.333333333333333,2.25,4.4,Older student,2
710515.0,13,JUNIOR,Chica,4.333333333333333,2.833333333333333,2.75,4.8,Older student,2
1109806.0,12,JUNIOR,Chica,2.833333333333333,3.1666666666666665,3.0,4.2,Younger student,1
1508281.0,12,JUNIOR,Chico,5.0,5.0,4.5,4.8,Younger student,0
1601778.0,13,JUNIOR,Chica,4.0,3.6666666666666665,4.25,4.0,Older student,2
1812000.1,11,JUNIOR,Chica,4.333333333333333,3.8333333333333335,3.25,3.4,Younger student,2
2505000.0,12,JUNIOR,Chica,4.833333333333333,4.166666666666667,3.25,4.8,Younger student,0
106843.0,15,SENIOR,Chica,4.333333333333333,4.333333333333333,4.5,3.6,Older student,0
201095.0,17,SENIOR,Chica,4.833333333333333,4.833333333333333,3.5,4.2,Older student,0
211655.0,16,SENIOR,Chico,4.833333333333333,3.6666666666666665,2.75,4.6,Older student,2
306636.0,15,SENIOR,Chico,5.0,5.0,5.0,4.8,Older student,0
401142.0,15,SENIOR,Chica,4.666666666666667,5.0,4.0,4.2,Older student,0
510488.0,14,SENIOR,Chica,4.833333333333333,5.0,3.75,4.2,Older student,0
