Codigo,Grupo_Edad,Genero,label_x,label_y
108472,Older student,Chico,2,1
902236,Older student,Chica,2,2
1107000,Older student,Chico,1,2
1107156,Older student,Chico,0,0
1711134,Younger student,Chica,0,0
1808307,Older student,Chico,2,2
2211155,Older student,Chico,1,1
2409000,Younger student,Chico,2,2
2609571,Older student,Chico,2,2
2705000,Older student,Chico,0,0
2804143,Older student,Chico,0,0
2807679,Older student,Chico,0,0
2901873,Older student,Chico,0,2
108000,Younger student,Chica,0,0
157000,Younger student,Chico,1,1
249000,Younger student,Chica,0,0
303884,Older student,Chico,2,2
608000,Younger student,Chica,0,0
710515,Older student,Chica,2,2
912000,Younger student,Chico,2,2
1109806,Younger student,Chica,1,2
1508281,Younger student,Chico,0,0
1601778,Older student,Chica,2,0
1607000,Older student,Chica,0,0
1812000,Younger student,Chica,2,1
2107000,Older student,Chico,2,2
2505000,Younger student,Chica,0,2
2604000,Younger student,Chica,0,2
2707000,Younger student,Chica,2,0
3006000,Younger student,Chico,0,2
3009335,Younger student,Chico,0,0
664063354,Younger student,Chico,0,0
101047,Older student,Chica,2,2
106843,Older student,Chica,0,0
201095,Older student,Chica,0,0
211655,Older student,Chico,2,2
306636,Older student,Chico,0,0
401142,Older student,Chica,0,0
401577,Older student,Chica,0,0
502000,Older student,Chica,0,0
505006,Older student,Chica,0,0
510488,Older student,Chica,0,0
611459,Older student,Chica,2,2
707996,Older student,Chica,0,0
804594,Older student,Chica,0,0
806974,Older student,Chico,0,0
908167,Older student,Chica,0,0
1003516,Older student,Chica,0,0
1006000,Older student,Chica,0,0
1006955,Older student,Chica,0,0
1207020,Older student,Chica,2,2
1412021,Older student,Chica,2,2
1610000,Older student,Chico,2,2
1701279,Older student,Chica,0,0
1701657,Older student,Chico,0,0
1704572,Older student,Chica,0,0
1704950,Older student,Chico,2,0
1706015,Older student,Chico,0,0
1812143,Older student,Chica,0,0
2108376,Older student,Chico,0,0
2205000,Older student,Chica,0,0
2210491,Older student,Chica,2,2
2310590,Older student,Chica,0,0
2312587,Younger student,Chica,2,2
2312599,Older student,Chica,1,2
2409336,Older student,Chico,2,2
2505253,Older student,Chico,0,0
2605000,Older student,Chica,1,2
2605041,Older student,Chica,0,0
2606000,Older student,Chico,0,0
2708654,Older student,Chico,0,0
2812778,Older student,Chico,1,1
3110083,Older student,Chica,0,0
17305443,Older student,Chica,0,0
104324,Older student,Chico,0,0
106789,Older student,Chico,0,0
303941,Older student,Chico,2,2
304000,Older student,Chico,2,1
305405,Older student,Chico,2,2
507145,Older student,Chico,2,2
710906,Older student,Chico,0,2
908497,Older student,Chico,2,0
1005078,Older student,Chico,2,2
1006462,Older student,Chico,2,2
1112000,Younger student,Chica,0,2
1112643,Older student,Chico,2,0
1203465,Older student,Chico,0,2
1204427,Older student,Chico,2,2
1312674,Older student,Chico,2,2
1411232,Older student,Chico,0,0
1411317,Older student,Chico,2,2
1712155,Older student,Chico,2,2
1908773,Older student,Chico,2,0
2105971,Older student,Chico,1,2
2404298,Older student,Chico,0,0
2406134,Older student,Chico,0,0
2408656,Older student,Chica,0,0
2502741,Older student,Chico,0,0
2708000,Older student,Chica,0,0
2901837,Older student,Chico,0,0
3003609,Older student,Chico,2,2
408000,Younger student,Chico,2,2
501000,Younger student,Chico,0,0
505000,Younger student,Chica,0,0
609000,Younger student,Chico,1,2
706000,Younger student,Chica,0,0
903000,Younger student,Chica,2,0
