,Curso_PRE,Nivel_PRE,Codigo,Edad,Genero_PRE,Decision,Otros_campus,Ingenieria_antes,Valoracion_ingenierias_PRE,Dedicacion_PRE,Trabajo_padre,Trabajo_madre,Posicion_clase,Tipo_estudiante,Gustar_PRE,Estudiar_PRE,Entender_PRE,No_entender_PRE,Profesional_PRE,Actividades_PRE,Carrera_PRE,Facilidad_PRE,Disfrutar_PRE,No_trabajo_PRE,Mundo_mejor_PRE,Interes_asignaturas_PRE,Salida_profesional_PRE,Actividades_instituto_PRE,Dificultad_asignaturas_PRE,Trabajo_PRE,Respeto_cientificos_PRE,Efecto_vidas_PRE,No_gustar_PRE,Examenes_PRE,Decisiones_personales_PRE,Curso_POST,Nivel_POST,Genero_POST,Adaptacion,Puntuacion_profesor,Puntuacion_apoyo,Laboratorios_escuela,Laboratorios_comunicaciones,Sensibilizacion_ONG,Material,Ingenieria_despues,Dedicacion_POST,Valoracion_ingenierias_POST,Nivel_matematicas,Recomendacion,Repetir,Puntuacion_curso,Mejor_curso,Peor_curso,Mejorar,Gustar_POST,Estudiar_POST,Entender_POST,No_entender_POST,Profesional_POST,Actividades_POST,Carrera_POST,Facilidad_POST,Disfrutar_POST,No_trabajo_POST,Mundo_mejor_POST,Interes_asignaturas_POST,Salida_profesional_POST,Actividades_instituto_POST,Dificultad_asignaturas_POST,Trabajo_POST,Respeto_cientificos_POST,Efecto_vidas_POST,No_gustar_POST,Examenes_POST,Decisiones_personales_POST
0,AUTOMATIZACION,SENIOR,108472,13,Chico,Yo,No,No sé,Buena,,algo sobre bancos,telecos,Entre los primeros de la clase,Buen estudiante,4,3,4,2,3,4,4,4,4,3,4,3,3,4,2,3,3,4,2,1,4,INGENIERIA MECANICA,SENIOR,Chico,Poco,7,9,Buena,Buena,Regular,Bien,No sé,futbolista,Me da igual,Muy bien,Sí,No,6,La F1,El diseño 3D,Adaptar el nivel a los estudiantes,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1,AUTOMATIZACION,SENIOR,902236,14,Chica,Yo,"2017, 2018, 2019, 2020 (online)",Sí,Buena,,Farmaceutica,Automocion,"Por el medio, pero más cerca de los primeros",Buen estudiante,5,4,4,2,2,4,4,4,4,3,4,4,4,4,3,3,4,4,1,3,4,AUTOMATIZACION,SENIOR,Chica,Muy bien,9,5,Buena,Buena,Buena,Muy bien,Sí,ns/nc,Muy buena,Muy bien,Sí,Sí,9,ns/nc,nada,nada,5,4,4,2,1,4,4,4,4,3,4,4,5,4,2,3,4,4,1,3,4
2,AUTOMATIZACION,SENIOR,1107000,16,Chico,Mis padres,No,No sé,Me da igual,,no se,no se,"Por el medio, pero más cerca de los primeros",Buen estudiante,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,VIDEOJUEGOS 2D,JUNIOR,Chico,Bien,10,8,Muy buena,No asistí,Buena,Muy bien,Sí,ME GUSTARIA SER PROFESOR,Muy buena,Muy bien,Sí,Sí,9,LO MEJOR DEL CURSO HA SIDO QUE APRENDIDO HA MANAEJAR UN ORDENADOR,LO PEOR DEL CURSO HA SIDO QUE HE HECHO POCOS AMIGOS,TENEIS QUE MEJORAR TENER MENOS HORAS CON LOS ORDENADORES,4,5,5,1,3,4,3,3,5,4,5,5,4,5,1,3,1,5,1,5,5
3,AUTOMATIZACION,SENIOR,1107156,16,Chico,Yo,"2016, 2018, 2019",Sí,Muy buena,,Profesor aquí en ICAI,Ingeniera,"Por el medio, pero más cerca de los primeros",Buen estudiante,4,5,4,1,1,3,4,4,4,2,4,4,4,4,2,4,4,3,1,2,4,AUTOMATIZACION,SENIOR,Chico,Muy bien,10,8,Muy buena,No asistí,Buena,Muy bien,Sí,Informatica,Muy buena,Muy bien,Sí,Sí,10,el buen rollo del profesor,nada,nada,5,5,5,1,1,4,5,4,4,1,4,5,5,5,1,5,4,4,1,2,4
4,AUTOMATIZACION,SENIOR,1711134,12,Chica,Yo,"2018, 2019",Sí,Muy buena,,Trabaja en periodismo,Trabaja con el dinero del estado,"Por el medio, pero más cerca de los primeros",Buen estudiante,5,5,5,1,1,5,5,5,5,1,5,5,5,5,2,5,3,5,1,5,5,DISEÑO 3D,SENIOR,Chica,Bien,9,10,Muy buena,No asistí,Buena,Muy bien,Sí,Ingeniera Mecánica,Muy mala,Bien,Sí,Sí,10,"Imprimir, diseñar, todo...",Que las impresoras se estropean,"Las lecciones que damos, que no siempre tienen que ver con lo que tenemos q hacer. Es decir, yo estoy en diseño 3D pero solo los primeros 2 días hizimos Kahoots de las maquinas, luego ya no tenenian sentido los kahoots. Yo creo que las clses tienen que hacer lo que nosotros nos hemos apuntado a hacer, no demas GENIAL",5,5,5,1,1,5,5,5,5,1,5,5,5,5,1,5,4,5,1,2,5
5,AUTOMATIZACION,SENIOR,1808307,13,Chico,"Yo, Mis padres","2016, 2017, 2018, 2019, 2020 (online)",No sé,Muy buena,,es profesor en esta universidad.,es enfermera.,Entre los primeros de la clase,Buen estudiante,5,4,5,2,2,3,5,5,5,2,5,4,4,4,5,4,4,4,2,3,5,CIBERSEGURIDAD,SENIOR,Chico,Muy bien,9,9,Buena,Buena,Muy buena,Bien,No sé,"A investigar los cerebros de la gente, y ver la raíz del comportamiento humano.",Buena,Muy bien,Sí,Sí,10,El poder poner en práctica lo que hacemos.,No sé.,Que no esté habilitado el shell shockers para que nadie se distraiga.,5,4,5,2,2,3,5,5,5,4,5,4,3,4,2,3,4,5,2,5,5
6,AUTOMATIZACION,SENIOR,2211155,15,Chico,Yo,No,No sé,Buena,,Profesor,Abogado,"Por el medio, pero más cerca de los primeros",Muy buen estudiante,3,2,5,2,4,2,2,2,3,3,5,2,2,4,3,2,4,5,2,2,5,INTELIGENCIA ARTIFICIAL,SENIOR,Chico,Regular,10,10,Muy buena,Buena,Buena,Muy bien,No sé,no se,Buena,Bien,Sí,Sí,8,El material,La hora a la que empieza,La hora a la que empieza el curso,2,2,5,3,4,2,2,4,3,5,5,2,2,4,2,2,5,5,1,2,4
7,AUTOMATIZACION,SENIOR,2409000,12,Chico,Yo,No,Sí,Buena,,Arqueología,Arqueología,"Por el medio, pero más cerca de los primeros",Dentro de la media,4,4,4,3,1,3,5,3,3,3,2,3,5,3,3,2,3,4,2,3,3,AUTOMATIZACION,SENIOR,Chico,Bien,10,1,Muy buena,Buena,Buena,Bien,Sí,No sé,Buena,Bien,Sí,Sí,10,Todo,Nada,Nada,4,4,3,3,3,4,4,3,3,3,4,3,5,4,3,3,2,3,1,3,3
8,AUTOMATIZACION,SENIOR,2609571,16,Chico,Mis amigos,No,No sé,Buena,,Abogado,Economista,Entre los primeros de la clase,Buen estudiante,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,INTELIGENCIA ARTIFICIAL,SENIOR,Chico,Bien,10,10,Buena,Buena,Buena,Bien,Sí,Ingenieria,Buena,Bien,Sí,Sí,10,todo,nada,pocas cossas,4,5,3,4,5,4,4,4,4,5,3,4,3,5,4,4,4,5,4,3,4
9,AUTOMATIZACION,SENIOR,2705000,14,Chico,Yo,2018,Sí,Muy buena,,asesor fiscal,asesora culinaria,Entre los primeros de la clase,Buen estudiante,5,5,5,2,2,4,5,3,5,1,5,5,5,5,3,5,4,5,1,1,5,INGENIERIA ELECTRONICA,SENIOR,Chico,Muy bien,10,10,Regular,Regular,Buena,Bien,Sí,ingenieria nanotecnologica,Muy buena,Muy bien,Sí,Sí,10,los problemas y las explicaciones,el patio sin deportes,Par mejorar el curso podrían hacer que la profesora pudiese tener días en zonas seguras para que los alumnos puedan hacer un experimento en el que podrán ver la importancia de los componentes y su correcta colocación podrían usar sobre todo condensadores.,5,4,5,1,1,4,5,4,5,1,5,5,5,5,2,5,4,4,1,1,4
